date,price,ma_price,volume,ma_volume,position,drift_price,drift_volume,corr,drift_corr,market_cases,market_cases_,rolling_sharpe,rolling_sortino
2002-10-31,-0.5588845986233082,-0.5588845986233082,66000.0,66000.0,0,,,,,0,0.0,,
2002-11-01,-0.704233410714437,-0.6327125666695959,77000.0,71587.30158730158,0,-0.07382796804628766,5587.301587301583,,,0,0.0,,
2002-11-04,2.3479022304717887,0.39253081669378265,95000.0,79640.57776284851,0,0.6588862662268231,7231.284646131811,,,0,0.0,,
2002-11-05,1.4004177771944342,0.6566261341275945,61000.0,74756.2112670425,0,0.4332914383451024,308.05542216734153,,,0,0.0,,
2002-11-06,2.0507977002217217,0.9534406395514913,1000.0,59053.75835409188,0,0.36050374078712605,-8230.882356562237,,,0,0.0,,
2002-11-07,0.2265751681754864,0.8224816553200275,26000.0,53098.479434473316,0,0.10684556013237,-7056.3773568493725,,,0,0.0,,
2002-11-08,-1.6849502968114507,0.4292750394060417,35000.0,50260.33986080764,-1,-0.14714919595466786,-4913.78038761321,,,0,0.0,,
2002-11-11,-0.4979937298875256,0.3000858574871032,65000.0,52313.90264454741,0,-0.13809848022012708,-1402.6783170101337,,,0,0.0,,
2002-11-12,-0.9954341609197286,0.13719505603974322,13000.0,47370.81182479382,0,-0.15054325322830675,-3179.8265536813587,,,0,0.0,,
2002-11-13,-0.6439567984649557,0.04745661563454254,22000.0,44456.22220711388,0,-0.12008135091379568,-3046.9485583460078,,,0,0.0,,
2002-11-15,1.4227100135922228,0.19325237835891917,122000.0,52676.9284745063,0,0.012987155618701117,2592.3860171946303,,,0,0.0,,
2002-11-18,1.0987504015542413,0.2825699021286162,126000.0,59909.4513691839,0,0.05117098414172008,4913.5878552711165,,,0,0.0,,
2002-11-19,-0.4438430758304434,0.2154409307382726,86000.0,62320.520204321285,0,-0.007993438063326662,3662.0227873263334,,,0,0.0,,
2002-11-20,2.0509984825142737,0.3752910210343392,75000.0,63424.71657685417,0,0.07593857172303332,2382.953443535102,,,0,0.0,,
2002-11-21,0.7017923569998743,0.4022208541843888,33000.0,60915.285677806576,0,0.051432706717241795,-63.388040590969005,,,0,0.0,,
2002-11-22,2.1042875184402305,0.5357658183557722,65000.0,61235.77431627372,0,0.0924900884161662,128.55615661011964,,,0,0.0,,
2002-11-25,1.2128018258047746,0.5864915988198088,147000.0,67661.51421169352,0,0.07160761579885665,3277.1960704472385,,,0,0.0,,
2002-11-26,3.12615329511641,0.7688090586989601,44000.0,65962.89932363144,1,0.12696296016676556,789.2716098353079,,,0,0.0,,
2002-11-27,3.2306558832082146,0.9386551035545028,67000.0,66034.450261019,1,0.14840458430445908,430.40990466266544,,,0,0.0,,
2002-11-28,4.693351241921107,1.1882755179067233,25000.0,63306.3902264919,1,0.1990125958554614,-1148.8280770896197,,,0,0.0,,
2002-11-29,3.552546608535579,1.3401080409227046,78000.0,64250.00783995712,0,0.17542253693848808,-102.60423405539173,,,0,0.0,,
2002-12-02,3.8627606761350535,1.4969410420516314,45000.0,63053.237242549156,0,0.1661277646016146,-649.6876766013926,,,0,0.0,,
2002-12-03,4.103518569133769,1.6541313388281071,25000.0,60758.427441837855,0,0.16165902962361575,-1472.2489347702328,,,0,0.0,,
2002-12-04,2.983372200432484,1.7320282218203824,61000.0,60772.58420592844,0,0.11977795131533191,-729.0459967431296,,,0,0.0,,
2002-12-05,1.58337220043245,1.7235485429554387,66000.0,61070.76793783114,0,0.05564913240281862,-215.4311018063833,,,0,0.0,,
2002-12-06,-1.7659611394685726,1.5295038005149941,129000.0,64848.17838780709,-1,-0.06919780873954176,1780.9897335827636,,,0,0.0,,
2002-12-09,0.9742579583620454,1.4993618735365497,157000.0,69850.70747869622,0,-0.04966986756800409,3391.759436238284,,,0,0.0,,
2002-12-10,-0.0149231377150158,1.419008795228599,39000.0,68213.66471893035,0,-0.06501147305228126,877.3583195024584,,,0,0.0,,
2002-12-11,2.0021098171159792,1.4492895791102767,73000.0,68462.22196508676,0,-0.017365344407806144,562.9577816582035,,,0,0.0,,
2002-12-12,-0.9625402804719556,1.3265795328179535,111000.0,70626.47608570741,-1,-0.07003769544817456,1363.6059526307508,,,0,0.0,,
2002-12-13,-2.905338829978064,1.1154111909938338,127000.0,73439.45652323608,-1,-0.1406030187018662,2088.293195754624,,,0,0.0,,
2002-12-16,1.3041001026325605,1.1246541996580741,122000.0,75818.21593309124,0,-0.06568000498392419,2233.5263028725235,,,0,0.0,,
2002-12-17,-3.036106370044422,0.9243893128980968,95000.0,76741.46968674053,-1,-0.13297244588761853,1578.3900281083704,,,0,0.0,,
2002-12-18,2.2250158078221034,0.9859515236675094,103000.0,77984.35777486481,0,-0.03570511754777955,1410.6390580967966,,,0,0.0,,
2002-12-19,-0.953204960523692,0.8956187396991268,37000.0,76075.1610869534,0,-0.06301895075967097,-249.27881500392377,,,0,0.0,,
2002-12-20,10.639068295363586,1.3426486108809212,49000.0,74832.95156928923,1,0.19200546021848394,-745.7441663484981,,,0,0.0,,
2002-12-23,9.082198657127265,1.6926194019186471,41000.0,73303.07647925246,1,0.2709881256292543,-1137.8096281983414,,,0,0.0,,
2002-12-24,7.415359713500322,1.9478282131684383,94000.0,74226.06738232874,1,0.2630984684394653,-107.40936255353395,,,0,0.0,,
2002-12-25,4.407929779644121,2.0560929673628423,49000.0,73115.91241082005,0,0.185681611316653,-608.7821670329348,,,0,0.0,,
2002-12-26,0.65213467721793,1.995085573295173,71000.0,73023.96786861698,0,0.062337108624267536,-350.3633546175321,,,0,0.0,,
