,year_report,month_report,date_report,m_,date_forecast,bank,value
0,2016,2,2016-02-29,1,2016-03-31,consensus mean,1110.956673084173
1,2016,2,2016-02-29,1,2016-03-31,high,1200.0
2,2016,2,2016-02-29,1,2016-03-31,low,1040.0
3,2016,2,2016-02-29,1,2016-03-31,ubs,1165.0
4,2016,2,2016-02-29,1,2016-03-31,anz,1095.71
5,2016,2,2016-02-29,1,2016-03-31,capital economics,1080.0
6,2016,2,2016-02-29,1,2016-03-31,oxford economics,1150.0
7,2016,2,2016-02-29,1,2016-03-31,rbc capital markets,1200.0
8,2016,2,2016-02-29,1,2016-03-31,credit suisse,1150.0
9,2016,2,2016-02-29,1,2016-03-31,macquarie,1140.0
10,2016,2,2016-02-29,1,2016-03-31,investec,1120.0
11,2016,2,2016-02-29,1,2016-03-31,scotiabank,1200.0
12,2016,2,2016-02-29,1,2016-03-31,ihs global insight,1129.0
13,2016,2,2016-02-29,1,2016-03-31,econ intelligence unit,1070.0
14,2016,2,2016-02-29,1,2016-03-31,commonwealth bank,1115.0
15,2016,2,2016-02-29,1,2016-03-31,cpm group,1119.0
16,2016,2,2016-02-29,1,2016-03-31,liberium capital,1115.3311531939
17,2016,2,2016-02-29,1,2016-03-31,banco de credito del peru,1120.0
18,2016,2,2016-02-29,1,2016-03-31,wilson htm,1100.0
19,2016,2,2016-02-29,1,2016-03-31,morgan stanley,1080.0
20,2016,2,2016-02-29,1,2016-03-31,euromonitor international,1057.96232774208
21,2016,2,2016-02-29,1,2016-03-31,citigroup,1080.0
22,2016,2,2016-02-29,1,2016-03-31,bank of china international,1050.0
23,2016,2,2016-02-29,1,2016-03-31,deutsche bank,1100.0
24,2016,2,2016-02-29,1,2016-03-31,societe generale,1040.0
25,2016,2,2016-02-29,1,2016-03-31,bnp paribas,1075.0
26,2016,2,2016-02-29,4,2016-06-30,consensus mean,1104.2660852538438
27,2016,2,2016-02-29,4,2016-06-30,high,1210.0
28,2016,2,2016-02-29,4,2016-06-30,low,980.0
29,2016,2,2016-02-29,4,2016-06-30,boa merrill lynch,1050.0
30,2016,2,2016-02-29,4,2016-06-30,ubs,1210.0
31,2016,2,2016-02-29,4,2016-06-30,anz,1160.0
32,2016,2,2016-02-29,4,2016-06-30,capital economics,1125.0
33,2016,2,2016-02-29,4,2016-06-30,oxford economics,1170.0
34,2016,2,2016-02-29,4,2016-06-30,rbc capital markets,1200.0
35,2016,2,2016-02-29,4,2016-06-30,credit suisse,1125.0
36,2016,2,2016-02-29,4,2016-06-30,macquarie,1125.0
37,2016,2,2016-02-29,4,2016-06-30,investec,1120.0
38,2016,2,2016-02-29,4,2016-06-30,scotiabank,1200.0
39,2016,2,2016-02-29,4,2016-06-30,ihs global insight,1161.0
40,2016,2,2016-02-29,4,2016-06-30,econ intelligence unit,1070.0
41,2016,2,2016-02-29,4,2016-06-30,commonwealth bank,1117.97071510099
42,2016,2,2016-02-29,4,2016-06-30,cpm group,1122.0
43,2016,2,2016-02-29,4,2016-06-30,liberium capital,1115.3311531939
44,2016,2,2016-02-29,4,2016-06-30,banco de credito del peru,1120.0
45,2016,2,2016-02-29,4,2016-06-30,wilson htm,1100.0
