date,gold,volume
2010-01-04,1121.5,155479.0
2010-01-05,1123.25,156414.0
2010-01-06,1130.0,176903.0
2010-01-07,1130.25,121150.0
2010-01-08,1126.75,212621.0
2010-01-11,1153.0,173768.0
2010-01-12,1151.25,233123.0
2010-01-13,1127.25,217628.0
2010-01-14,1138.25,165713.0
2010-01-15,1128.0,144699.0
2010-01-19,1133.0,188027.0
2010-01-20,1120.25,232575.0
2010-01-21,1108.25,271810.0
2010-01-22,1084.0,214203.0
2010-01-25,1095.25,155359.0
2010-01-26,1093.25,230154.0
2010-01-27,1094.75,206694.0
2010-01-28,1088.0,211376.0
2010-01-29,1078.5,182586.0
2010-02-01,1086.5,162343.0
2010-02-02,1111.0,154491.0
2010-02-03,1115.25,158610.0
2010-02-04,1083.25,280754.0
2010-02-05,1058.0,253584.0
2010-02-08,1064.0,142157.0
2010-02-09,1071.25,184386.0
2010-02-10,1069.5,163920.0
2010-02-11,1076.25,188052.0
2010-02-12,1082.0,153310.0
2010-02-16,1115.25,179062.0
2010-02-17,1119.0,172886.0
2010-02-18,1118.0,188706.0
2010-02-19,1112.75,170952.0
2010-02-22,1115.25,137551.0
2010-02-23,1107.0,161291.0
2010-02-24,1103.0,176130.0
2010-02-25,1094.5,206758.0
2010-02-26,1108.25,129613.0
2010-03-01,1114.0,124679.0
2010-03-02,1126.5,193281.0
2010-03-03,1136.5,159134.0
2010-03-04,1134.5,154142.0
2010-03-05,1135.0,150034.0
2010-03-08,1125.75,140539.0
2010-03-09,1115.75,153991.0
2010-03-10,1120.5,201367.0
2010-03-11,1104.0,136646.0
2010-03-12,1106.25,159858.0
2010-03-15,1104.25,130831.0
2010-03-16,1124.75,141796.0
2010-03-17,1121.75,130316.0
2010-03-18,1122.75,123991.0
2010-03-19,1105.5,176491.0
2010-03-22,1097.25,159063.0
2010-03-23,1101.5,146151.0
2010-03-24,1090.75,178057.0
2010-03-25,1093.0,159336.0
2010-03-26,1096.5,177735.0
2010-03-29,1107.5,158733.0
2010-03-30,1107.0,109922.0
2010-03-31,1115.5,108481.0
2010-04-01,1123.5,118743.0
2010-04-06,1132.75,126657.0
2010-04-07,1142.0,163437.0
2010-04-08,1148.0,119675.0
2010-04-09,1152.5,134636.0
2010-04-12,1158.75,122400.0
2010-04-13,1148.25,133642.0
2010-04-14,1153.75,123129.0
2010-04-15,1154.5,99314.0
2010-04-16,1151.5,202672.0
2010-04-19,1136.25,124328.0
2010-04-20,1144.75,120349.0
2010-04-21,1143.0,112315.0
2010-04-22,1133.75,138485.0
2010-04-23,1139.5,144453.0
2010-04-26,1154.5,88294.0
2010-04-27,1149.5,182681.0
2010-04-28,1161.0,167705.0
2010-04-29,1166.75,109655.0
2010-04-30,1179.25,120949.0
2010-05-04,1185.0,190145.0
2010-05-05,1165.0,180541.0
2010-05-06,1185.25,271242.0
2010-05-07,1202.25,255295.0
2010-05-10,1196.5,176641.0
2010-05-11,1222.5,206839.0
2010-05-12,1237.5,205851.0
2010-05-13,1237.5,163428.0
2010-05-14,1236.5,242404.0
2010-05-17,1236.0,166751.0
2010-05-18,1216.75,185969.0
2010-05-19,1195.0,225810.0
2010-05-20,1192.0,217743.0
2010-05-21,1179.75,164813.0
2010-05-24,1187.0,181604.0
2010-05-25,1198.25,218485.0
2010-05-26,1212.0,237497.0
2010-05-27,1211.0,138265.0
2010-05-28,1207.5,96000.0
2010-06-01,1227.75,107409.0
2010-06-02,1215.0,90250.0
2010-06-03,1215.0,115426.0
2010-06-04,1203.5,139929.0
2010-06-07,1215.0,154985.0
2010-06-08,1246.0,143916.0
2010-06-09,1233.5,125493.0
2010-06-10,1217.5,118687.0
2010-06-11,1220.0,80168.0
2010-06-14,1223.75,97231.0
2010-06-15,1225.0,104401.0
2010-06-16,1234.5,83665.0
2010-06-17,1245.0,140087.0
2010-06-18,1256.0,115423.0
2010-06-21,1254.5,154610.0
2010-06-22,1236.0,122705.0
2010-06-23,1226.5,138832.0
2010-06-24,1236.25,130027.0
2010-06-25,1254.0,91013.0
2010-06-28,1261.0,146272.0
2010-06-29,1234.5,148822.0
2010-06-30,1244.0,110717.0
2010-07-01,1234.0,257842.0
2010-07-02,1201.5,119623.0
2010-07-06,1195.0,148108.0
2010-07-07,1193.25,126917.0
2010-07-08,1193.5,123075.0
2010-07-09,1208.75,110471.0
2010-07-12,1205.5,96041.0
2010-07-13,1216.0,110463.0
2010-07-14,1207.0,107456.0
2010-07-15,1208.0,102197.0
2010-07-16,1189.25,145699.0
2010-07-19,1181.0,119208.0
2010-07-20,1183.0,144273.0
2010-07-21,1191.5,146975.0
2010-07-22,1199.5,134689.0
2010-07-23,1190.5,137637.0
2010-07-26,1183.5,193657.0
2010-07-27,1168.0,235880.0
2010-07-28,1157.0,206828.0
2010-07-29,1162.5,113129.0
2010-07-30,1169.0,119041.0
2010-08-02,1188.5,89850.0
2010-08-03,1187.5,67044.0
2010-08-04,1199.5,119101.0
2010-08-05,1192.5,76534.0
2010-08-06,1207.75,105721.0
2010-08-09,1203.0,69569.0
2010-08-10,1192.5,101154.0
2010-08-11,1205.5,117462.0
2010-08-12,1213.0,124749.0
2010-08-13,1214.25,73006.0
2010-08-16,1223.5,79250.0
2010-08-17,1226.0,59875.0
2010-08-18,1218.0,100667.0
2010-08-19,1233.5,86559.0
2010-08-20,1223.5,74826.0
2010-08-23,1226.0,56766.0
