date,price,long,exit,exit_,return,rolling_var,rolling_sharpe,location,cum_return,days,annual_return,required_return,required_return_loc,required_to_breakeven,max_drawdown,cr_vs_md,case_why,should_close,should_close_day,fecha_compra
2021-01-28,1853.7,1.0,0.0,0.0,0.0,,,72.22222222222221,0.0,0,0.0,0.0,72.22222222222221,72.22222222222221,0.0,,holded,0,0.0,2021-01-28
2021-01-29,1863.8,0.0,0.0,0.0,0.005448562334789742,,,83.33333333333333,0.005448562334789742,1,2.932638990418294,0.005478249166305904,83.33333333333333,27.77777777777778,0.0,inf,take profit,1,0.0,2021-01-28
2021-02-01,1862.95,0.0,-1.0,0.0,-0.00045605751690092067,,,61.11111111111111,0.004990019960079639,4,0.36832791941018805,0.001251390818704845,72.22222222222221,33.33333333333333,-0.0004560575169011062,10.941646119521588,take profit,2,0.0,2021-01-28
2021-02-08,1835.25,1.0,0.0,0.0,0.0,,,64.0,0.0,0,0.0,0.0,64.0,64.0,0.0,,holded,0,0.0,2021-02-08
2021-02-09,1839.6,1.0,0.0,0.0,0.0023702492848385326,,,72.0,0.0023702492848385326,1,0.8159269581174666,0.002375867366510853,72.0,40.0,0.0,inf,take profit,1,0.0,2021-02-08
2021-02-10,1842.65,0.0,-1.0,0.0,0.0016579691237226246,,,68.0,0.004032148208690911,2,0.6603512087398273,0.0020221668454976083,68.0,36.0,0.0,inf,holded,1,0.0,2021-02-08
2021-02-09,1839.6,1.0,0.0,0.0,0.0,,,61.53846153846154,0.0,0,0.0,0.0,61.53846153846154,61.53846153846154,0.0,,holded,0,0.0,2021-02-09
2021-02-10,1842.65,0.0,0.0,0.0,0.0016579691237226246,,,65.38461538461539,0.0016579691237226246,1,0.5181040867534183,0.001660717985337845,65.38461538461539,42.30769230769231,0.0,inf,holded,0,0.0,2021-02-09
2021-02-11,1840.1,0.0,0.0,0.0,-0.0013838764822403649,,,50.0,0.0002717982170037381,2,0.03483492589323545,0.00013592681009866325,61.53846153846154,53.84615384615385,-0.0013838764822402597,0.19640352335762162,holded,0,0.0,2021-02-09
2021-02-12,1816.35,0.0,0.0,0.0,-0.012906907233302567,,,11.538461538461538,-0.012638617090671822,3,-0.6564455824225102,-0.004177275552823878,34.61538461538461,96.15384615384616,-0.01427292215016417,-0.8854961133888375,holded,0,0.0,2021-02-09
2021-02-16,1794.25,0.0,0.0,0.0,-0.01216725851295175,,,11.538461538461538,-0.024652098282235135,7,-0.5928598389589605,-0.003471764559890622,34.61538461538461,100.0,-0.02626651832957952,-0.9385369607388606,holded,0,0.0,2021-02-09
2021-02-17,1780.7,0.0,0.0,0.0,-0.007551901908875558,,,19.23076923076923,-0.03201782996303526,8,-0.6412253324829542,-0.003929465071871641,34.61538461538461,100.0,-0.03362005806854239,-0.9523430892879301,holded,0,0.0,2021-02-09
2021-02-18,1773.15,0.0,0.0,0.0,-0.004239905655079479,,,34.61538461538461,-0.036121983039791083,9,-0.6430411830126428,-0.003932133550082484,34.61538461538461,100.0,-0.03771741784929304,-0.9577003172413123,holded,0,0.0,2021-02-09
2021-02-19,1786.2,0.0,0.0,0.0,0.007359783436257539,,,84.61538461538461,-0.029028049575994586,10,-0.5239983698552648,-0.0028560511885722395,38.46153846153846,100.0,-0.03771741784929304,-0.7696192165641231,holded,0,0.0,2021-02-09
2021-02-22,1807.45,0.0,0.0,0.0,0.011896764080170152,,,92.3076923076923,-0.017476625353337494,13,-0.2894904963687178,-0.0013316361413114874,50.0,96.15384615384616,-0.03771741784929304,-0.4633568878752146,holded,0,0.0,2021-02-09
2021-02-23,1799.65,1.0,0.0,0.0,-0.004315472073916249,,,34.61538461538461,-0.021716677538595075,14,-0.32645952766886444,-0.0015330222037714947,42.30769230769231,100.0,-0.03771741784929304,-0.5757731779351413,holded,0,0.0,2021-02-09
2021-02-24,1788.0,1.0,0.0,0.0,-0.006473480954630073,,,23.076923076923077,-0.028049575994781195,15,-0.37995800096781995,-0.001841749894474165,42.30769230769231,100.0,-0.03771741784929304,-0.7436769957810604,holded,0,0.0,2021-02-09
2021-02-25,1779.65,0.0,0.0,0.0,-0.004670022371364602,,,30.76923076923077,-0.03258860621874282,16,-0.40656061086439665,-0.0020011607084695626,42.30769230769231,100.0,-0.03771741784929304,-0.8640200755246995,holded,0,0.0,2021-02-09
2021-02-26,1742.85,0.0,0.0,0.0,-0.02067822324614399,,,7.6923076923076925,-0.05259295499021499,17,-0.5510585073812433,-0.0030061055276937587,38.46153846153846,100.0,-0.054161126638265354,-0.9710461774821642,holded,0,0.0,2021-02-09
2021-03-01,1734.15,0.0,0.0,0.0,-0.00499182373698237,,,30.76923076923077,-0.05732224396607921,20,-0.5246898728078864,-0.0027782479438629437,38.46153846153846,100.0,-0.05888258757767309,-0.9735007635400601,holded,0,0.0,2021-02-09
2021-03-02,1723.85,0.0,0.0,0.0,-0.005939509269671128,,,26.923076923076923,-0.06292128723635548,21,-0.5415279470022238,-0.002895463484064331,38.46153846153846,100.0,-0.0644723631726044,-0.9759420027447048,holded,0,0.0,2021-02-09
2021-03-03,1711.4,0.0,0.0,0.0,-0.0072222061084199485,,,23.076923076923077,-0.0696890628397474,22,-0.5628309057055986,-0.00304964146716602,38.46153846153846,100.0,-0.07122893658589503,-0.9783813458412272,holded,0,0.0,2021-02-09
2021-03-04,1712.1,0.0,0.0,0.0,0.0004090218534531509,,,61.53846153846154,-0.06930854533594233,23,-0.544782171460818,-0.0029019538168258974,38.46153846153846,100.0,-0.07122893658589503,-0.973039170005902,holded,0,0.0,2021-02-09
2021-03-05,1696.25,0.0,0.0,0.0,-0.009257636820279136,,,11.538461538461538,-0.07792454881495947,24,-0.5733735006963181,-0.003111668792939115,38.46153846153846,100.0,-0.0794507909803812,-0.9807900947669784,holded,0,0.0,2021-02-09
2021-03-08,1687.05,1.0,0.0,0.0,-0.0054237288135593476,,,26.923076923076923,-0.08292563600782754,27,-0.5542317175479472,-0.0029355920392473145,38.46153846153846,100.0,-0.08444360024964027,-0.9820239279551656,holded,0,0.0,2021-02-09
2021-03-09,1716.9,1.0,0.0,0.0,0.017693607184138038,,,96.15384615384616,-0.06669928245270684,28,-0.46272776533256155,-0.0022980130599690174,42.30769230769231,100.0,-0.08444360024964027,-0.7898678201251963,holded,0,0.0,2021-02-09
2021-03-10,1716.2,0.0,0.0,0.0,-0.0004077115731841996,,,53.84615384615385,-0.06707979995651203,29,-0.4530355817119096,-0.002231048182838591,42.30769230769231,100.0,-0.08444360024964027,-0.7943739935081437,holded,0,0.0,2021-02-09
2021-03-11,1724.25,0.0,0.0,0.0,0.00469059550168982,,,76.92307692307692,-0.06270384866275247,30,-0.4195492140577447,-0.0020210024810546345,42.30769230769231,100.0,-0.08444360024964027,-0.7425529996042487,holded,0,0.0,2021-02-09
2021-03-12,1704.8,1.0,0.0,0.0,-0.011280266782659143,,,11.538461538461538,-0.07327679930419628,31,-0.46131389310129434,-0.0022721765276336736,42.30769230769231,100.0,-0.08444360024964027,-0.8677602457447146,holded,0,0.0,2021-02-09
2021-03-15,1723.65,0.0,0.0,0.0,0.011057015485687494,,,92.3076923076923,-0.06303000652315693,34,-0.3827836617250874,-0.00179241614814718,42.30769230769231,100.0,-0.08444360024964027,-0.7464154339324897,holded,0,0.0,2021-02-09
2021-03-16,1735.0,1.0,0.0,0.0,0.006584863516374995,,,84.61538461538461,-0.0568601869971731,35,-0.34393364986263386,-0.0015761702207337525,42.30769230769231,100.0,-0.08444360024964027,-0.6733510512232728,holded,0,0.0,2021-02-09
2021-03-17,1729.65,1.0,0.0,0.0,-0.003083573487031699,,,38.46153846153846,-0.05976842791911263,36,-0.35040329692539496,-0.001608223241906681,42.30769230769231,100.0,-0.08444360024964027,-0.7077910906500844,holded,0,0.0,2021-02-09
2021-03-18,1725.9,1.0,0.0,0.0,-0.0021680686844158803,,,42.30769230769231,-0.061806914546640335,37,-0.35242868056684395,-0.0016163426201234454,42.30769230769231,100.0,-0.08444360024964027,-0.7319313052015879,holded,0,0.0,2021-02-09
2021-03-19,1735.2,1.0,0.0,0.0,0.005388492960194613,,,76.92307692307692,-0.05675146771037165,38,-0.3212165706801946,-0.001449142115070301,50.0,100.0,-0.08444360024964027,-0.6720635731138596,holded,0,0.0,2021-02-09
2021-03-22,1736.15,1.0,0.0,0.0,0.0005474873213462406,,,61.53846153846154,-0.05623505109806459,41,-0.299344394800815,-0.0013313371180997402,50.0,100.0,-0.08444360024964027,-0.665948052094145,holded,0,0.0,2021-02-09
2021-03-23,1726.2,1.0,0.0,0.0,-0.005731071623995665,,,26.923076923076923,-0.06164383561643816,42,-0.3173371520169126,-0.001420437247119155,50.0,100.0,-0.08444360024964027,-0.7300000880374681,holded,0,0.0,2021-02-09
2021-03-24,1730.5,1.0,0.0,0.0,0.002491020739195937,,,73.07692307692308,-0.0593063709502063,43,-0.3011336687341044,-0.0013365359784194286,50.0,100.0,-0.08444360024964027,-0.7023193086850764,holded,0,0.0,2021-02-09
2021-03-25,1737.3,1.0,0.0,0.0,0.003929500144466802,,,76.92307692307692,-0.055609915198956084,44,-0.2794146998871838,-0.0012272518308997782,50.0,100.0,-0.08444360024964027,-0.6585450529650171,holded,0,0.0,2021-02-09
2021-03-26,1731.8,1.0,0.0,0.0,-0.0031658320382201843,,,38.46153846153846,-0.05859969558599676,45,-0.28692325616763625,-0.0012624455761465203,50.0,100.0,-0.08444360024964027,-0.6939507009738892,holded,0,0.0,2021-02-09
2021-03-29,1705.95,1.0,0.0,0.0,-0.014926665896754732,,,11.538461538461538,-0.07265166340508777,48,-0.3269842762416718,-0.0014560679943439458,50.0,100.0,-0.08444360024964027,-0.8603572466155867,holded,0,0.0,2021-02-09
2021-03-30,1683.95,0.0,0.0,0.0,-0.012896040329435254,,,11.538461538461538,-0.08461078495325047,49,-0.36533570013440964,-0.0016500587295578129,42.30769230769231,100.0,-0.08612595989471657,-0.9824074536490706,holded,0,0.0,2021-02-09
2021-03-31,1691.05,0.0,0.0,0.0,0.004216277205380203,,,76.92307692307692,-0.08075125027179797,50,-0.3458120184502709,-0.0015466850132092036,42.30769230769231,100.0,-0.08612595989471657,-0.9375947782818463,holded,0,0.0,2021-02-09
2021-04-01,1726.05,0.0,0.0,0.0,0.02069719996451913,,,100.0,-0.06172537508153919,51,-0.2700762328776297,-0.0011714232721746765,50.0,100.0,-0.08612595989471657,-0.7166872236546853,holded,0,0.0,2021-02-09
2021-04-06,1744.65,0.0,0.0,0.0,0.010776049361258533,,,92.3076923076923,-0.05161448140900149,56,-0.2121707291501258,-0.0008970563075646476,50.0,100.0,-0.08612595989471657,-0.599290637481392,holded,0,0.0,2021-02-09
2021-04-07,1738.05,0.0,0.0,0.0,-0.0037829937236696365,,,34.61538461538461,-0.055202217873450365,57,-0.22201392318101443,-0.0009407548129946042,50.0,100.0,-0.08612595989471657,-0.6409474906396575,holded,0,0.0,2021-02-09
